model,risk_decile,mean_predicted_probability,observed_delay_rate,flights
Stacked_Ensemble,1,0.824811151977186,0.6095140023994513,505949
Stacked_Ensemble,2,0.7128848920932916,0.38299314753068,505949
Stacked_Ensemble,3,0.6199492205015017,0.29140486491721496,505949
Stacked_Ensemble,4,0.53904738379473,0.23420193379556792,505948
Stacked_Ensemble,5,0.4679537213804255,0.19302143101379785,505949
Stacked_Ensemble,6,0.4054886506224862,0.1603560833206509,505949
Stacked_Ensemble,7,0.3490402433442153,0.1324780412216275,505948
Stacked_Ensemble,8,0.296078983101475,0.10725982263034417,505949
Stacked_Ensemble,9,0.24331396254221102,0.08243320967133051,505949
Stacked_Ensemble,10,0.1736546782231785,0.05043788998495896,505949
XGBoost,1,0.8580982089042664,0.609185906089349,505949
XGBoost,2,0.7183246612548828,0.3830484890769623,505949
XGBoost,3,0.6275168061256409,0.2910688626719294,505949
XGBoost,4,0.5558419823646545,0.23362282289879593,505948
XGBoost,5,0.4945807456970215,0.1933949864512036,505949
XGBoost,6,0.43976813554763794,0.16024935319567782,505949
XGBoost,7,0.3877123296260834,0.13274486706143715,505948
XGBoost,8,0.3348939120769501,0.10726575208173156,505949
XGBoost,9,0.2759980857372284,0.08272177630551696,505949
XGBoost,10,0.17958535254001617,0.050797610035794125,505949
LightGBM,1,0.8434834043879549,0.5992936046913819,505949
LightGBM,2,0.7130618198494605,0.3749745527711291,505949
LightGBM,3,0.628137986250719,0.28728191971918116,505949
LightGBM,4,0.5579134235313767,0.23179457177417442,505948
LightGBM,5,0.4956451746830512,0.19274077031479458,505949
LightGBM,6,0.4389720918886375,0.16054187279745588,505949
LightGBM,7,0.38582398090281717,0.13541905492264028,505948
LightGBM,8,0.33259654388264454,0.11322880369365292,505949
LightGBM,9,0.27327235955850593,0.0907621123868216,505949
LightGBM,10,0.17639202287502603,0.0580631644691461,505949
