model,risk_decile,flights,delayed_flights,observed_delay_rate,mean_predicted_probability,lift_vs_prevalence
Stacked_Ensemble,1,505949,308383,0.6095140023994513,0.824811151977186,2.7160725567835082
Stacked_Ensemble,2,505949,193775,0.38299314753068,0.7128848920932916,1.7066665791912146
Stacked_Ensemble,3,505949,147436,0.29140486491721496,0.6199492205015017,1.298537446882394
Stacked_Ensemble,4,505948,118494,0.23420193379556792,0.53904738379473,1.043633850286657
Stacked_Ensemble,5,505949,97659,0.19302143101379785,0.4679537213804255,0.8601282490374652
Stacked_Ensemble,6,505949,81132,0.1603560833206509,0.4054886506224862,0.7145672708189479
Stacked_Ensemble,7,505948,67027,0.1324780412216275,0.3490402433442153,0.5903391402363306
Stacked_Ensemble,8,505949,54268,0.10725982263034417,0.296078983101475,0.4779635242913112
Stacked_Ensemble,9,505949,41707,0.08243320967133051,0.24331396254221102,0.3673329532619171
Stacked_Ensemble,10,505949,25519,0.05043788998495896,0.1736546782231785,0.22475770576380133
XGBoost,1,505949,308217,0.609185906089349,0.8580982089042664,2.7146105175516895
XGBoost,2,505949,193803,0.3830484890769623,0.7183246612548828,1.7069131882182684
XGBoost,3,505949,147266,0.2910688626719294,0.6275168061256409,1.2970401777895673
XGBoost,4,505948,118201,0.23362282289879593,0.5558419823646545,1.0410532578673448
XGBoost,5,505949,97848,0.1933949864512036,0.4945807456970215,0.8617928599700785
XGBoost,6,505949,81078,0.16024935319567782,0.43976813554763794,0.714091667695344
XGBoost,7,505948,67162,0.13274486706143715,0.3877123296260834,0.5915281503953994
XGBoost,8,505949,54271,0.10726575208173156,0.3348939120769501,0.47798994668706696
XGBoost,9,505949,41853,0.08272177630551696,0.2759980857372284,0.3686188431886977
XGBoost,10,505949,25701,0.050797610035794125,0.17958535254001617,0.22636066443965117
LightGBM,1,505949,303212,0.5992936046913819,0.8434834043879549,2.670529153965819
LightGBM,2,505949,189718,0.3749745527711291,0.7130618198494605,1.6709346926641664
LightGBM,3,505949,145350,0.28728191971918116,0.628137986250719,1.2801650743668842
LightGBM,4,505948,117276,0.23179457177417442,0.5579134235313767,1.0329063364070585
LightGBM,5,505949,97517,0.19274077031479458,0.4956451746830512,0.8588775889716923
LightGBM,6,505949,81226,0.16054187279745588,0.4389720918886375,0.7153951725526285
LightGBM,7,505948,68515,0.13541905492264028,0.38582398090281717,0.6034446744340668
LightGBM,8,505949,57288,0.11322880369365292,0.33259654388264454,0.5045620693521161
LightGBM,9,505949,45921,0.0907621123868216,0.27327235955850593,0.404447611833517
LightGBM,10,505949,29377,0.0580631644691461,0.17639202287502603,0.258736906705717
