model,threshold,flagged_rate,tp,fp,tn,fn,precision,recall,specificity,f1
XGBoost,0.3,0.8124092793579113,1073735,3036640,887448,61665,0.26122555727883706,0.9456887440549586,0.22615394965658261,0.40937135123027574
XGBoost,0.35,0.722206278579967,1026837,2627157,1296931,108563,0.28101770282053007,0.904383477188656,0.3305050753194118,0.4287962109611363
XGBoost,0.4,0.6263100139776989,965216,2203592,1720496,170184,0.3045990795276962,0.850110974106042,0.4384448055191423,0.44849877143483774
XGBoost,0.45,0.5304815427964252,891748,1792217,2131871,243652,0.33225023426162414,0.785404262814867,0.5432780814293665,0.46696139279697024
XGBoost,0.5,0.44007970767002513,809053,1417525,2506563,326347,0.36336162487907453,0.7125709001233046,0.6387631979710955,0.48129583239390616
XGBoost,0.55,0.3582902064398611,721151,1091614,2832474,414249,0.39781825002137616,0.6351514884622159,0.7218171457928568,0.48922024377875734
XGBoost,0.56,0.34304716208438485,703283,1032360,2891728,432117,0.4052002629573017,0.6194143033292232,0.7369172149044568,0.48991464077688845
XGBoost,0.6,0.2854719687051338,629930,814412,3109676,505470,0.4361363167449261,0.5548088779284833,0.7924582731070251,0.4883666661239768
XGBoost,0.65,0.22138663042584547,536612,583491,3340597,598788,0.4790737994630851,0.47261934120133875,0.8513053224086717,0.4758246830086238
XGBoost,0.7,0.16639885300647023,443694,398199,3525889,691706,0.5270194668443614,0.3907821032235336,0.8985244469542987,0.4487893296542293
LightGBM,0.3,0.8079946034065107,1064203,3023836,900252,71197,0.26032114664268124,0.9372934648581998,0.2294168734238376,0.4074721653684479
LightGBM,0.35,0.718011585361997,1013795,2618976,1305112,121605,0.2790693385297339,0.8928967764664435,0.33258989095045777,0.4252343298929506
LightGBM,0.4,0.6229521643296713,951248,2200571,1723517,184152,0.30180920922172244,0.8378087017791087,0.4392146659300199,0.44375992922218344
LightGBM,0.45,0.5295790799385234,878571,1800828,2123260,256829,0.32789853246940825,0.7737986612647525,0.5410836861966398,0.4606119483621548
LightGBM,0.5,0.44236037322353566,799218,1438899,2485189,336182,0.35709393208666035,0.7039087546239211,0.6333163272587159,0.47381886618623825
LightGBM,0.55,0.3617235577987338,713316,1116820,2807268,422084,0.3897611980748972,0.6282508367095296,0.7153937424441043,0.48107053834450164
LightGBM,0.56,0.34639137398883046,695644,1056919,2867169,439756,0.39692952550065247,0.6126862779637132,0.7306586906307911,0.48175409449497797
LightGBM,0.6,0.2878065922875991,622140,834014,3090074,513260,0.4272487662706005,0.5479478597850977,0.7874629722880833,0.48012891107034616
LightGBM,0.65,0.22099785590953078,526109,592027,3332061,609291,0.47052326371747266,0.4633688567905584,0.8491300398971685,0.4669186558368715
LightGBM,0.7,0.16220870570302764,428301,392392,3531696,707099,0.5218772427692207,0.37722476660207854,0.900004281249554,0.43791476172145194
Stacked_Ensemble,0.3,0.7423931038081324,1038326,2717803,1206285,97074,0.27643512776052154,0.9145023780165581,0.3074051856125551,0.42454046577256316
Stacked_Ensemble,0.35,0.6478823548944083,980331,2297622,1626466,155069,0.2990680464301959,0.863423463096706,0.4144825498306868,0.4442567816351876
Stacked_Ensemble,0.4,0.558917226407099,915414,1912421,2011667,219986,0.3237154925941577,0.806248018319535,0.5126457408702353,0.4619529248202542
Stacked_Ensemble,0.45,0.476922170780917,844958,1568024,2356064,290442,0.35017169626627964,0.7441941166108861,0.6004105922191347,0.47624973861326086
Stacked_Ensemble,0.5,0.4027603188306801,771074,1266687,2657401,364326,0.3783927555783038,0.6791210146203981,0.6772021932229858,0.485997401329463
Stacked_Ensemble,0.55,0.3351922170780917,693974,1001927,2922161,441426,0.40920666949308954,0.6112154306852211,0.7446726475043373,0.4902156287869075
Stacked_Ensemble,0.56,0.3223000034786129,678029,952644,2971444,457371,0.4157970359477345,0.5971719217896776,0.75723174403836,0.49024664208066815
Stacked_Ensemble,0.6,0.27299284038226795,613084,768120,3155968,522316,0.4438765019504722,0.5399718161000528,0.8042551543186596,0.4872312052273619
Stacked_Ensemble,0.65,0.21533028638470927,527228,562233,3361855,608172,0.48393471634138346,0.46435441254183546,0.8567226321122258,0.4739424170768421
Stacked_Ensemble,0.7,0.1622035668431272,436221,384446,3539642,699179,0.5315444632232075,0.38420028183899946,0.9020292103541001,0.4460184646026951
