model,top_fraction,flights_flagged,captured_delays,precision,delay_capture_rate,lift_vs_prevalence
Stacked_Ensemble,0.01,50595,44290,0.8753829429785552,0.03900827902060948,3.900818650171468
Stacked_Ensemble,0.05,252975,180442,0.7132799683763218,0.158923727320768,3.1784670077861366
Stacked_Ensemble,0.1,505949,308383,0.6095140023994513,0.2716073630438612,2.7160725567835082
Stacked_Ensemble,0.2,1011898,502158,0.49625357496506567,0.44227408842698607,2.2113695679873615
Stacked_Ensemble,0.3,1517847,649594,0.4279706716157821,0.5721278844460103,1.9070921942857058
Stacked_Ensemble,0.5,2529744,865747,0.34222711863334787,0.7625039633609301,1.5250079267218601
XGBoost,0.01,50595,44410,0.8777547188457357,0.03911396864541131,3.9113875875844406
XGBoost,0.05,252975,180481,0.7134341338076885,0.15895807644882862,3.17915398871798
XGBoost,0.1,505949,308217,0.609185906089349,0.2714611590628853,2.7146105175516895
XGBoost,0.2,1011898,502020,0.4961171975831556,0.442152545358464,2.2107618528849784
XGBoost,0.3,1517847,649286,0.42776775261274685,0.5718566144090188,1.9061879611865082
XGBoost,0.5,2529744,865335,0.3420642563041952,0.7621410956491105,1.5242821912982207
LightGBM,0.01,50595,43446,0.8587014527127187,0.03826492865950326,3.8264837903668907
LightGBM,0.05,252975,177812,0.7028836841585137,0.1566073630438612,3.132139832125938
LightGBM,0.1,505949,303212,0.5992936046913819,0.2670530209617756,2.670529153965819
LightGBM,0.2,1011898,492930,0.4871340787312555,0.4341465562797252,2.1707319233149924
LightGBM,0.3,1517847,638280,0.4205166923938974,0.5621631143209441,1.8738763069989564
LightGBM,0.5,2529744,853073,0.3372171255273261,0.7513413774881099,1.5026827549762198
