model_calibration,bin,n,score_min,score_max,mean_predicted,observed_rate,abs_gap
Uncalibrated XGBoost,1,252975,0.005902372300624847,0.1914551854133606,0.14088911339186322,0.0395612214645716,0.10132789192729162
Uncalibrated XGBoost,2,252975,0.1914552003145218,0.24122610688209534,0.21828183411085178,0.06203379780610732,0.15624803630474446
Uncalibrated XGBoost,3,252975,0.24122624099254608,0.2768514156341553,0.2596763802665014,0.07643047731989328,0.18324590294660814
Uncalibrated XGBoost,4,252975,0.27685147523880005,0.3072136640548706,0.2923201472205081,0.08901274829528609,0.20330739892522198
Uncalibrated XGBoost,5,252975,0.3072136640548706,0.33508673310279846,0.3213172390562518,0.10081233323450933,0.22050490582174248
Uncalibrated XGBoost,6,252975,0.3350868225097656,0.36172884702682495,0.3484710718539525,0.11371874691175017,0.23475232494220233
Uncalibrated XGBoost,7,252975,0.36172884702682495,0.3877580165863037,0.3747626464108208,0.12606384030042495,0.24869880611039585
Uncalibrated XGBoost,8,252975,0.3877583146095276,0.41359829902648926,0.40066287555022134,0.139432750271766,0.26123012527845535
Uncalibrated XGBoost,9,252974,0.41359829902648926,0.4396810531616211,0.42659274064832553,0.15187726801963838,0.2747154726286871
Uncalibrated XGBoost,10,252974,0.43968114256858826,0.46640628576278687,0.45294442139235785,0.16862207183346906,0.2843223495588888
Uncalibrated XGBoost,11,252974,0.4664064943790436,0.4942939877510071,0.4802521048280623,0.18375406168222821,0.29649804314583406
Uncalibrated XGBoost,12,252974,0.4942939877510071,0.5238589644432068,0.5089102178618586,0.20303667570580375,0.3058735421560549
Uncalibrated XGBoost,13,252974,0.5238590240478516,0.5554082989692688,0.5394424014616651,0.22138638753389678,0.31805601392776833
Uncalibrated XGBoost,14,252974,0.5554084777832031,0.5895187258720398,0.572242292248938,0.2458513523128859,0.32639093993605206
Uncalibrated XGBoost,15,252974,0.5895187854766846,0.6267639994621277,0.6078452085542397,0.2744076466356226,0.3334375619186171
Uncalibrated XGBoost,16,252974,0.626764178276062,0.6684897541999817,0.6471891973981975,0.3077312292962913,0.33945796810190615
Uncalibrated XGBoost,17,252974,0.6684901118278503,0.7167484760284424,0.6919361345691842,0.3518148110082459,0.3401213235609383
Uncalibrated XGBoost,18,252974,0.716748833656311,0.7746211290359497,0.7447137909252045,0.4142876343023394,0.3304261566228651
Uncalibrated XGBoost,19,252974,0.7746214270591736,0.8494717478752136,0.8099103051882016,0.5049333133049246,0.304976991883277
Uncalibrated XGBoost,20,252974,0.8494720458984375,0.991075873374939,0.9062864839068415,0.7134369539952723,0.19284952991156923
Platt-scaled XGBoost,1,252975,0.0015793804167590908,0.0557450681544619,0.03988719276868953,0.0395612214645716,0.0003259713041179335
Platt-scaled XGBoost,2,252975,0.05574507313015923,0.07308095105641271,0.06496674742186433,0.06203379780610732,0.002932949615757005
Platt-scaled XGBoost,3,252975,0.07308099979594304,0.08644706638118002,0.07993209577559315,0.07643047731989328,0.0035016184556998786
Platt-scaled XGBoost,4,252975,0.08644708946986357,0.09854477586618163,0.0925536075202098,0.08901274829528609,0.003540859224923712
Platt-scaled XGBoost,5,252975,0.09854477586618163,0.11027929422781207,0.10442978018069804,0.10081233323450933,0.003617446946188707
Platt-scaled XGBoost,6,252975,0.11027933289176037,0.12210922380492781,0.11617015826696275,0.11371874691175017,0.002451411355212582
Platt-scaled XGBoost,7,252975,0.12210922380492781,0.13429738505463396,0.12815812287515013,0.12606384030042495,0.002094282574725187
Platt-scaled XGBoost,8,252975,0.13429752837634776,0.1470677814207717,0.14061684805139213,0.139432750271766,0.0011840977796261365
Platt-scaled XGBoost,9,252974,0.1470677814207717,0.16069668458038688,0.15379306609337706,0.15187726801963838,0.0019157980737386782
Platt-scaled XGBoost,10,252974,0.1606967326458973,0.1755030705210736,0.1679705170438333,0.16862207183346906,0.0006515547896357443
Platt-scaled XGBoost,11,252974,0.17550318963328032,0.19195195665132003,0.18358042273136493,0.18375406168222821,0.00017363895086328074
Platt-scaled XGBoost,12,252974,0.19195195665132003,0.2106231131249186,0.2010711576087966,0.20303667570580375,0.0019655180970071517
Platt-scaled XGBoost,13,252974,0.21062315213976793,0.2321123231884141,0.22109482168338643,0.22138638753389678,0.0002915658505103502
Platt-scaled XGBoost,14,252974,0.23211244993404437,0.2574043549436715,0.24440430640259514,0.2458513523128859,0.0014470459102907673
Platt-scaled XGBoost,15,252974,0.25740440117824215,0.28783214794063894,0.27211303547447535,0.2744076466356226,0.002294611161147264
Platt-scaled XGBoost,16,252974,0.28783230180743835,0.32602304029689766,0.30613352116149767,0.3077312292962913,0.0015977081347936517
Platt-scaled XGBoost,17,252974,0.3260233885079737,0.3767682618464104,0.35002759712344,0.3518148110082459,0.001787213884805905
Platt-scaled XGBoost,18,252974,0.37676866803321357,0.4495226110457206,0.41069442641077597,0.4142876343023394,0.0035932078915634214
Platt-scaled XGBoost,19,252974,0.4495230258547429,0.5706111064445883,0.5035765729806169,0.5049333133049246,0.0013567403243077703
Platt-scaled XGBoost,20,252974,0.5706116672133562,0.9612188205148645,0.7017751197111294,0.7134369539952723,0.011661834284142913
