feature,mean_abs_shap
airport_prev_hour_delay_rate,0.236385524193206
airport_rolling_6h_delay_rate,0.14665970816596838
Reporting_Airline,0.11600883633621682
airport_prev_hour_mean_delay,0.09014662510337221
dep_time_block,0.08323778433587693
TaxiOut,0.053436164777072574
Dest,0.040120755600341305
arr_time_block,0.031538971905033616
sched_dep_hour,0.02838510052963476
Year,0.0259347545939887
airport_prev_hour_cancel_rate,0.020662898081746272
Origin,0.016997629159796888
dest_in_degree,0.006830730690604343
sched_arr_hour,0.005037133397460328
weather_capacity_risk_index,0.0031555738778792446
Month,0.0023800859828832324
airport_rolling_6h_volume,0.0017757269151064425
dwpf,0.0017377814553676035
skyl1,0.0014121357345712635
dest_out_degree,0.0011312627830578571
carrier_origin_month_count,0.0010590532141899305
tmpf,0.0007149066812575631
dest_pagerank,0.0004170321876688396
origin_out_degree,0.00027441094288161637
origin_pagerank,0.00024807969712484825
CRSElapsedTime,0.00015324653872025916
Distance,0.0
DayofMonth,0.0
DayOfWeek,0.0
relh,0.0
sknt,0.0
vsby,0.0
airport_hour_departures,0.0
airport_hour_arrivals,0.0
route_month_count,0.0
airport_hour_total,0.0
drct,0.0
runway_count,0.0
mean_runway_length_ft,0.0
max_runway_length_ft,0.0
weather_flag,0.0
skyc1,0.0
