feature,importance_mean,importance_std
sched_dep_hour,0.01683152786455558,0.0037218861866356073
Reporting_Airline,0.013703048914823124,0.0021167294628715756
origin_prev_hour_delay_rate,0.0113978309630124,0.0031523486692837666
origin_prev_hour_mean_dep_delay,0.006927165846008015,0.0015538050225581252
vsby,0.004570873713151779,0.0013329460002074517
DepTimeBlk,0.0035152805238248264,0.001984481305971413
dest_pagerank,0.0028826488566150886,0.001067892971663748
weather_flag,0.0021292616747231596,0.0011878884140718495
route_scheduled_count,0.002047005848752942,0.001384945513347834
Origin,0.0019787031410013144,0.001097163000597468
ArrTimeBlk,0.0017902165993127384,0.001872166828757058
origin_hour_cancel_rate,0.0014129001468593694,0.00026299436477979373
Dest,0.0013031129285121013,0.0003838348721327592
dest_in_degree,0.001214329834276867,0.0009692569954137552
dwpf,0.0011398440799651743,0.002042014376591877
CRSElapsedTime,0.0011208627980941188,0.0007206904899962918
sknt,0.0006503265358460853,0.0009058969268979296
origin_hour_flights,0.000602596496502561,0.0008339879020118217
skyl1,0.0004643172671655371,0.0009896920596450052
drct,0.00044106893805709866,0.0013520395347423034
tmpf,0.00039605596921317155,0.0010317829466428756
Distance,0.00031610902507943627,0.001015933621287766
DayOfWeek,0.0003093074213012692,0.0021837849270088558
carrier_origin_scheduled_count,0.0002201251561522566,0.0011318903905186053
dest_out_degree,0.0,0.0
DayofMonth,0.0,0.0
skyc1,-0.00026335862048922353,0.0009898235923688175
relh,-0.0005388124513354853,0.0016470048649198125
